transaction_id,amount,payment_method,failure_reason,previous_attempts,customer_successful_payments,customer_failed_payments,hours_since_failure,recovery_probability_true,recovered,recovery_status
TXN100038,10326.33,UPI,insufficient_funds,2,8,3,59.7,0.05,0,Unrecovered
TXN100039,6713.7,UPI,network_error,1,16,0,9.7,0.822,1,Recovered
TXN100040,2005.29,Card,card_declined,3,2,1,67.4,0.115,1,Recovered
TXN100041,7528.11,NetBanking,insufficient_funds,0,18,0,54.1,0.35,0,Unrecovered
TXN100042,707.98,UPI,network_error,0,10,1,67.8,0.675,0,Unrecovered
TXN100043,13657.85,Card,bank_timeout,2,16,1,48.7,0.515,0,Unrecovered
TXN100044,4029.2,NetBanking,card_declined,2,18,0,26.2,0.459,0,Unrecovered
TXN100045,10004.99,Card,card_declined,0,1,5,67.6,0.19,0,Unrecovered
TXN100046,4812.64,UPI,bank_timeout,0,7,2,19.9,0.705,1,Recovered
TXN100047,7896.53,UPI,network_error,0,18,0,24.0,0.83,1,Recovered
TXN100048,8290.86,NetBanking,upi_timeout,0,6,4,50.5,0.54,0,Unrecovered
TXN100049,2935.03,UPI,bank_timeout,2,16,5,55.1,0.465,1,Recovered
TXN100050,14549.82,NetBanking,network_error,1,5,5,66.9,0.37,1,Recovered
TXN100051,11671.74,Card,bank_timeout,0,18,4,14.8,0.726,1,Recovered
TXN100052,14104.52,Wallet,bank_timeout,0,5,2,57.5,0.525,1,Recovered
TXN100053,13443.34,NetBanking,insufficient_funds,0,1,5,53.2,0.05,0,Unrecovered
TXN100054,9048.52,Wallet,network_error,0,5,1,4.7,0.776,0,Unrecovered
TXN100055,13843.66,UPI,upi_timeout,1,4,2,27.9,0.491,0,Unrecovered
TXN100056,1508.78,NetBanking,insufficient_funds,3,18,4,20.4,0.108,0,Unrecovered
TXN100057,3099.74,UPI,bank_timeout,2,19,2,22.0,0.63,0,Unrecovered
TXN100058,868.41,Card,authentication_failed,0,3,0,70.8,0.145,0,Unrecovered
TXN100059,5014.21,Card,bank_timeout,2,16,2,46.3,0.54,0,Unrecovered
TXN100060,5951.81,NetBanking,bank_timeout,2,10,1,51.7,0.515,0,Unrecovered
TXN100061,4215.24,Wallet,network_error,2,3,0,70.3,0.435,0,Unrecovered
TXN100062,12465.14,NetBanking,network_error,1,12,3,27.2,0.589,0,Unrecovered
TXN100063,5479.31,UPI,insufficient_funds,0,19,4,57.8,0.25,0,Unrecovered
TXN100064,4357.11,UPI,upi_timeout,0,16,4,31.3,0.694,1,Recovered
TXN100065,8231.44,Card,insufficient_funds,0,8,2,62.6,0.22,0,Unrecovered
TXN100066,2284.82,UPI,card_declined,0,3,5,13.1,0.405,0,Unrecovered
TXN100067,12072.32,UPI,bank_timeout,0,13,0,68.2,0.695,1,Recovered
TXN100068,1302.42,UPI,authentication_failed,1,18,3,15.8,0.266,0,Unrecovered
TXN100069,14805.91,UPI,bank_timeout,1,2,0,23.6,0.532,1,Recovered
TXN100070,11628.99,UPI,bank_timeout,1,13,4,54.5,0.515,1,Recovered
TXN100071,3140.19,UPI,insufficient_funds,0,7,0,28.4,0.313,1,Recovered
TXN100072,280.73,UPI,authentication_failed,3,0,3,43.8,0.05,0,Unrecovered
TXN100073,12268.64,UPI,authentication_failed,3,9,5,32.1,0.05,0,Unrecovered
TXN100074,10661.2,Wallet,authentication_failed,2,17,2,53.5,0.05,0,Unrecovered
TXN100075,10989.04,UPI,insufficient_funds,3,15,1,16.5,0.153,0,Unrecovered
TXN100076,11614.57,UPI,bank_timeout,1,7,0,4.3,0.704,1,Recovered
TXN100077,1294.93,Card,insufficient_funds,3,0,1,21.7,0.05,0,Unrecovered
TXN100078,5504.65,UPI,network_error,0,11,4,34.2,0.644,0,Unrecovered
TXN100079,1913.98,Wallet,network_error,0,7,2,12.2,0.744,1,Recovered
TXN100080,12973.79,NetBanking,insufficient_funds,0,15,2,25.6,0.322,0,Unrecovered
TXN100081,9424.44,UPI,authentication_failed,0,17,0,28.9,0.356,0,Unrecovered
TXN100082,5096.62,UPI,bank_timeout,0,3,5,4.2,0.649,1,Recovered
TXN100083,1139.73,NetBanking,insufficient_funds,1,5,2,42.0,0.095,0,Unrecovered
TXN100084,4801.85,Wallet,insufficient_funds,2,11,0,63.7,0.155,1,Recovered
TXN100085,5012.04,Card,insufficient_funds,1,8,0,11.0,0.335,1,Recovered
TXN100086,10997.9,Card,card_declined,0,14,1,43.1,0.475,0,Unrecovered
TXN100087,9635.49,UPI,network_error,2,15,2,47.9,0.54,0,Unrecovered
TXN100088,13330.64,Wallet,authentication_failed,1,11,0,30.3,0.184,1,Recovered
TXN100089,7188.25,UPI,upi_timeout,0,13,1,50.5,0.72,1,Recovered
TXN100090,1969.11,Wallet,authentication_failed,1,12,3,29.6,0.177,0,Unrecovered
TXN100091,10755.74,Card,upi_timeout,0,1,1,36.4,0.508,1,Recovered
TXN100092,11459.38,Card,card_declined,0,2,1,0.6,0.502,0,Unrecovered
TXN100093,8506.46,Card,insufficient_funds,2,9,0,49.8,0.125,0,Unrecovered
TXN100094,11610.09,UPI,card_declined,0,8,4,47.7,0.32,0,Unrecovered
TXN100095,7507.67,UPI,card_declined,1,19,4,2.9,0.556,0,Unrecovered
TXN100096,7935.97,UPI,bank_timeout,2,7,5,26.6,0.437,1,Recovered
TXN100097,6527.03,UPI,network_error,1,9,4,70.5,0.505,0,Unrecovered
TXN100098,575.23,NetBanking,upi_timeout,0,18,1,30.4,0.773,1,Recovered
TXN100099,1795.9,UPI,insufficient_funds,0,2,5,36.2,0.074,0,Unrecovered
TXN100100,664.18,UPI,upi_timeout,0,4,0,65.5,0.61,0,Unrecovered
TXN100101,9618.51,Wallet,authentication_failed,1,2,2,51.7,0.05,0,Unrecovered
TXN100102,4851.78,NetBanking,upi_timeout,0,15,1,42.0,0.725,1,Recovered
TXN100103,7726.35,Wallet,authentication_failed,0,16,1,57.5,0.275,0,Unrecovered
TXN100104,13631.89,Wallet,network_error,3,14,5,62.2,0.335,1,Recovered
TXN100105,3888.77,UPI,authentication_failed,1,2,0,33.0,0.085,0,Unrecovered
TXN100106,6273.08,UPI,upi_timeout,0,11,3,34.3,0.669,1,Recovered
TXN100107,11381.91,NetBanking,upi_timeout,1,8,1,27.9,0.576,1,Recovered
TXN100108,3585.44,Card,authentication_failed,1,11,3,69.6,0.11,0,Unrecovered
TXN100109,1338.38,UPI,card_declined,0,14,3,50.2,0.475,0,Unrecovered
TXN100110,4487.61,NetBanking,network_error,0,1,4,6.1,0.635,1,Recovered
TXN100111,2585.24,UPI,bank_timeout,2,17,0,62.1,0.59,1,Recovered
TXN100112,13959.45,UPI,insufficient_funds,1,19,3,34.7,0.172,0,Unrecovered
TXN100113,12159.99,Card,upi_timeout,1,11,0,5.0,0.76,1,Recovered
TXN100114,9574.01,Card,insufficient_funds,0,3,4,39.6,0.097,0,Unrecovered
TXN100115,13097.49,Card,bank_timeout,0,15,0,30.1,0.75,0,Unrecovered
TXN100116,12094.15,UPI,insufficient_funds,0,15,1,63.2,0.275,0,Unrecovered
TXN100117,2960.42,NetBanking,bank_timeout,0,0,3,14.8,0.601,1,Recovered
TXN100118,13409.77,UPI,authentication_failed,0,1,0,59.5,0.065,0,Unrecovered
TXN100119,8181.8,UPI,card_declined,0,2,2,40.2,0.33,0,Unrecovered
TXN100120,12149.92,NetBanking,upi_timeout,2,19,0,4.0,0.72,0,Unrecovered
TXN100121,13462.05,Wallet,bank_timeout,3,16,3,70.0,0.385,1,Recovered
TXN100122,4905.77,NetBanking,insufficient_funds,2,19,4,37.0,0.105,0,Unrecovered
TXN100123,1827.88,NetBanking,upi_timeout,2,0,4,21.0,0.385,1,Recovered
TXN100124,3572.67,Card,card_declined,0,19,3,33.9,0.506,1,Recovered
TXN100125,6520.62,Card,authentication_failed,3,5,1,61.8,0.05,0,Unrecovered
TXN100126,12306.44,UPI,upi_timeout,0,14,1,22.0,0.765,1,Recovered
TXN100127,12938.67,UPI,bank_timeout,3,13,4,14.0,0.485,0,Unrecovered
TXN100128,301.9,UPI,card_declined,3,19,4,9.4,0.363,1,Recovered
TXN100129,7758.57,UPI,insufficient_funds,1,14,3,21.5,0.288,0,Unrecovered
TXN100130,6377.1,Card,card_declined,3,13,1,56.2,0.28,0,Unrecovered
TXN100131,3486.42,Card,card_declined,1,4,4,34.0,0.26,0,Unrecovered
TXN100132,1973.13,UPI,network_error,0,5,1,16.5,0.717,1,Recovered
TXN100133,5196.04,UPI,card_declined,0,16,4,12.0,0.59,1,Recovered
TXN100134,14155.01,Card,card_declined,1,10,0,24.0,0.45,0,Unrecovered
TXN100135,4982.73,UPI,upi_timeout,0,15,2,67.7,0.7,0,Unrecovered
TXN100136,7877.62,NetBanking,insufficient_funds,1,11,5,24.8,0.186,0,Unrecovered
TXN100137,10604.38,Card,upi_timeout,3,14,0,71.1,0.46,1,Recovered
TXN100138,5581.08,Card,upi_timeout,0,3,5,35.0,0.495,1,Recovered
TXN100139,14582.35,Card,bank_timeout,2,17,4,13.0,0.575,0,Unrecovered
TXN100140,14444.18,NetBanking,upi_timeout,2,2,2,64.2,0.32,1,Recovered
TXN100141,3925.63,UPI,network_error,3,7,2,33.2,0.399,0,Unrecovered
TXN100142,7558.78,Card,network_error,3,2,4,51.1,0.24,0,Unrecovered
TXN100143,4652.3,Card,bank_timeout,1,7,4,70.8,0.475,1,Recovered
TXN100144,4414.92,UPI,authentication_failed,3,17,1,3.7,0.216,0,Unrecovered
TXN100145,744.96,NetBanking,insufficient_funds,2,9,4,7.1,0.19,1,Recovered
TXN100146,9221.16,NetBanking,insufficient_funds,0,19,3,51.9,0.275,0,Unrecovered
TXN100147,7639.15,Card,upi_timeout,1,16,4,20.4,0.668,1,Recovered
TXN100148,960.94,NetBanking,upi_timeout,1,7,3,13.4,0.633,1,Recovered
TXN100149,4323.25,NetBanking,authentication_failed,0,10,4,2.9,0.336,1,Recovered
TXN100150,13642.24,Card,upi_timeout,1,4,1,1.7,0.647,1,Recovered
TXN100151,3744.76,NetBanking,insufficient_funds,1,12,3,55.8,0.175,1,Recovered
TXN100152,2343.59,Card,card_declined,0,4,0,9.8,0.561,0,Unrecovered
TXN100153,7443.39,Card,network_error,1,12,3,33.7,0.606,1,Recovered
TXN100154,14787.61,Card,card_declined,2,5,1,43.7,0.19,0,Unrecovered
TXN100155,3781.66,NetBanking,card_declined,1,4,5,30.9,0.251,0,Unrecovered
TXN100156,10147.28,UPI,insufficient_funds,0,8,3,2.0,0.335,0,Unrecovered
TXN100157,11471.73,NetBanking,card_declined,0,15,4,56.4,0.4,1,Recovered
TXN100158,3716.27,NetBanking,authentication_failed,0,1,4,0.9,0.211,0,Unrecovered
TXN100159,10977.33,UPI,bank_timeout,2,0,5,54.9,0.215,0,Unrecovered
TXN100160,5642.56,NetBanking,upi_timeout,0,7,1,64.3,0.63,0,Unrecovered
TXN100161,9557.76,UPI,bank_timeout,1,18,2,31.2,0.664,1,Recovered
TXN100162,9575.87,UPI,network_error,0,10,4,38.6,0.607,1,Recovered
TXN100163,8129.0,Card,upi_timeout,0,11,0,34.4,0.743,1,Recovered
TXN100164,1535.38,UPI,card_declined,2,11,1,28.1,0.39,0,Unrecovered
TXN100165,12562.31,NetBanking,network_error,1,6,3,63.9,0.435,0,Unrecovered
TXN100166,4946.87,NetBanking,upi_timeout,0,12,3,64.4,0.655,0,Unrecovered
TXN100167,2959.66,Card,authentication_failed,0,7,0,24.2,0.284,0,Unrecovered
TXN100168,802.51,UPI,authentication_failed,0,8,4,44.3,0.12,0,Unrecovered
TXN100169,8944.81,UPI,authentication_failed,1,6,1,66.7,0.085,0,Unrecovered
TXN100170,10227.63,Card,authentication_failed,1,14,0,69.3,0.17,0,Unrecovered
TXN100171,444.52,Wallet,card_declined,0,1,4,36.7,0.282,0,Unrecovered
TXN100172,7778.49,Card,bank_timeout,0,19,1,32.7,0.762,0,Unrecovered
TXN100173,3551.36,UPI,upi_timeout,0,11,3,20.1,0.74,1,Recovered
TXN100174,9748.2,Card,card_declined,2,0,1,69.0,0.165,0,Unrecovered
TXN100175,2779.8,Card,authentication_failed,3,7,5,10.4,0.05,0,Unrecovered
TXN100176,10425.57,NetBanking,bank_timeout,0,4,2,41.8,0.51,1,Recovered
TXN100177,5923.07,UPI,network_error,2,14,1,20.4,0.663,1,Recovered
TXN100178,14063.54,NetBanking,network_error,0,0,2,20.2,0.549,1,Recovered
TXN100179,2234.45,Card,network_error,0,0,1,29.2,0.579,1,Recovered
TXN100180,5247.12,Wallet,authentication_failed,2,9,2,71.9,0.05,0,Unrecovered
TXN100181,1878.52,UPI,network_error,2,9,5,4.1,0.58,1,Recovered
TXN100182,13885.39,Card,insufficient_funds,3,14,3,41.7,0.05,0,Unrecovered
TXN100183,13184.5,Wallet,upi_timeout,1,16,4,6.0,0.69,0,Unrecovered
TXN100184,4016.79,UPI,upi_timeout,0,5,2,11.2,0.719,1,Recovered
TXN100185,9967.42,Wallet,authentication_failed,2,2,5,31.7,0.05,0,Unrecovered
TXN100186,12294.71,Card,insufficient_funds,0,12,2,36.8,0.246,0,Unrecovered
TXN100187,8416.53,UPI,card_declined,1,15,3,18.7,0.502,1,Recovered
TXN100188,8038.36,UPI,card_declined,0,7,2,22.9,0.49,1,Recovered
TXN100189,3778.66,Card,network_error,1,14,5,6.4,0.713,1,Recovered
TXN100190,1577.01,UPI,bank_timeout,0,16,5,21.9,0.716,1,Recovered
TXN100191,13478.69,Card,card_declined,0,16,0,69.6,0.5,0,Unrecovered
TXN100192,13526.09,UPI,bank_timeout,2,12,3,68.0,0.445,1,Recovered
TXN100193,9569.53,Card,upi_timeout,0,16,0,24.2,0.829,1,Recovered
TXN100194,5216.98,UPI,bank_timeout,1,5,3,41.1,0.47,0,Unrecovered
TXN100195,5367.65,NetBanking,upi_timeout,0,16,2,65.5,0.7,1,Recovered
TXN100196,10943.87,Wallet,insufficient_funds,0,15,5,0.5,0.373,0,Unrecovered
TXN100197,13477.13,Wallet,insufficient_funds,0,13,0,58.4,0.295,0,Unrecovered
TXN100198,13328.77,Card,authentication_failed,0,12,2,68.3,0.18,0,Unrecovered
TXN100199,11741.94,UPI,authentication_failed,2,5,5,6.7,0.05,0,Unrecovered
TXN100200,9701.71,NetBanking,network_error,0,2,3,11.7,0.647,0,Unrecovered
TXN100201,1444.36,UPI,card_declined,3,13,5,69.2,0.18,0,Unrecovered
TXN100202,2591.27,UPI,network_error,1,13,2,38.7,0.622,1,Recovered
TXN100203,13498.5,UPI,upi_timeout,0,14,0,1.1,0.894,1,Recovered
TXN100204,9174.76,Card,network_error,1,7,0,18.6,0.682,0,Unrecovered
TXN100205,335.13,NetBanking,bank_timeout,1,14,5,32.5,0.582,0,Unrecovered
TXN100206,1700.88,Card,upi_timeout,2,12,2,49.9,0.52,0,Unrecovered
TXN100207,10019.49,UPI,authentication_failed,0,16,1,52.8,0.225,0,Unrecovered
TXN100208,273.92,UPI,insufficient_funds,0,2,3,71.7,0.105,0,Unrecovered
TXN100209,2579.12,Wallet,authentication_failed,2,5,3,20.8,0.05,0,Unrecovered
TXN100210,8320.81,UPI,card_declined,3,4,2,38.8,0.126,0,Unrecovered
TXN100211,10439.74,Card,upi_timeout,2,16,1,38.4,0.523,0,Unrecovered
TXN100212,9848.68,UPI,upi_timeout,0,1,0,29.3,0.618,0,Unrecovered
TXN100213,3518.41,NetBanking,bank_timeout,2,14,4,12.3,0.628,1,Recovered
TXN100214,10739.96,Card,card_declined,1,4,4,70.4,0.18,0,Unrecovered
TXN100215,3710.52,UPI,insufficient_funds,1,19,2,61.5,0.22,1,Recovered
TXN100216,5015.24,UPI,upi_timeout,0,5,1,35.9,0.62,0,Unrecovered
TXN100217,11247.82,Card,upi_timeout,1,5,1,43.5,0.47,0,Unrecovered
TXN100218,9814.22,Card,bank_timeout,0,17,3,16.4,0.793,1,Recovered
TXN100219,12768.36,UPI,network_error,0,17,0,39.2,0.704,1,Recovered
TXN100220,9932.33,Wallet,insufficient_funds,2,3,5,50.1,0.05,0,Unrecovered
TXN100221,8610.54,UPI,authentication_failed,0,16,1,37.1,0.29,0,Unrecovered
TXN100222,1585.48,UPI,card_declined,0,13,5,71.3,0.42,1,Recovered
TXN100223,5641.56,Wallet,upi_timeout,0,13,4,44.1,0.645,1,Recovered
TXN100224,4124.26,UPI,upi_timeout,3,12,5,26.8,0.431,0,Unrecovered
TXN100225,3810.29,Card,authentication_failed,1,6,0,55.6,0.11,0,Unrecovered
TXN100226,14600.53,UPI,insufficient_funds,0,11,0,12.4,0.403,1,Recovered
TXN100227,6017.24,UPI,network_error,2,14,5,27.7,0.526,0,Unrecovered
TXN100228,13402.18,Wallet,upi_timeout,2,18,2,25.0,0.565,1,Recovered
TXN100229,9540.48,UPI,insufficient_funds,0,10,1,31.1,0.32,1,Recovered
TXN100230,11963.0,NetBanking,authentication_failed,1,14,2,56.3,0.12,1,Recovered
TXN100231,7638.53,UPI,bank_timeout,2,11,5,34.9,0.456,0,Unrecovered
TXN100232,8737.75,UPI,network_error,1,2,1,57.2,0.475,0,Unrecovered
TXN100233,7488.75,UPI,card_declined,0,16,3,41.5,0.475,1,Recovered
TXN100234,3088.79,Card,upi_timeout,2,2,2,24.7,0.446,1,Recovered
TXN100235,10892.01,UPI,insufficient_funds,1,18,2,58.3,0.17,1,Recovered
TXN100236,4354.71,NetBanking,bank_timeout,0,19,5,17.2,0.739,0,Unrecovered
TXN100237,558.9,Card,card_declined,0,3,4,16.2,0.414,1,Recovered
TXN100238,9752.64,Wallet,insufficient_funds,0,2,5,36.4,0.073,0,Unrecovered
TXN100239,2820.42,UPI,insufficient_funds,0,15,2,18.9,0.406,0,Unrecovered
TXN100240,14118.73,NetBanking,card_declined,2,11,1,0.8,0.476,0,Unrecovered
TXN100241,14318.1,NetBanking,bank_timeout,0,7,4,46.7,0.505,1,Recovered
TXN100242,13739.91,NetBanking,authentication_failed,0,16,5,36.8,0.141,0,Unrecovered
TXN100243,5677.72,NetBanking,bank_timeout,1,6,5,32.1,0.475,1,Recovered
TXN100244,427.77,NetBanking,network_error,0,10,2,69.6,0.65,0,Unrecovered
TXN100245,13939.04,Card,upi_timeout,3,17,2,41.2,0.41,0,Unrecovered
TXN100246,6536.55,UPI,card_declined,0,0,3,62.2,0.275,0,Unrecovered
TXN100247,14506.46,UPI,authentication_failed,0,2,5,10.1,0.105,0,Unrecovered
TXN100248,14461.54,Wallet,card_declined,0,3,2,41.0,0.295,0,Unrecovered
TXN100249,12824.39,Card,card_declined,0,12,0,62.5,0.48,1,Recovered
TXN100250,4557.14,NetBanking,bank_timeout,0,5,4,42.0,0.525,0,Unrecovered
TXN100251,5898.83,Card,upi_timeout,1,13,0,51.7,0.665,0,Unrecovered
TXN100252,12796.67,UPI,network_error,3,4,4,26.8,0.286,0,Unrecovered
TXN100253,4889.76,UPI,insufficient_funds,0,15,5,6.7,0.392,0,Unrecovered
TXN100254,2707.66,Card,insufficient_funds,1,14,3,33.0,0.23,0,Unrecovered
TXN100255,8440.22,UPI,card_declined,1,14,2,28.5,0.478,0,Unrecovered
TXN100256,14055.03,UPI,upi_timeout,2,3,2,62.4,0.335,1,Recovered
TXN100257,10500.94,Card,authentication_failed,0,7,2,17.6,0.217,0,Unrecovered
TXN100258,8636.48,UPI,bank_timeout,0,15,5,69.6,0.625,0,Unrecovered
TXN100259,1637.31,Card,upi_timeout,0,15,4,69.0,0.65,1,Recovered
TXN100260,9301.72,UPI,upi_timeout,1,3,2,17.9,0.576,0,Unrecovered
TXN100261,14852.79,NetBanking,bank_timeout,2,12,0,25.1,0.594,1,Recovered
TXN100262,2272.38,UPI,card_declined,0,12,2,64.5,0.48,1,Recovered
TXN100263,7870.8,Card,upi_timeout,0,1,5,69.6,0.44,0,Unrecovered
TXN100264,13185.0,UPI,insufficient_funds,2,2,3,32.0,0.05,0,Unrecovered
TXN100265,11163.12,UPI,bank_timeout,2,7,0,23.2,0.529,1,Recovered
TXN100266,10515.53,UPI,authentication_failed,3,14,2,37.9,0.05,0,Unrecovered
TXN100267,10596.47,Card,network_error,2,10,2,49.6,0.44,0,Unrecovered
TXN100268,5519.83,Card,card_declined,0,8,1,19.8,0.546,1,Recovered
TXN100269,4544.45,UPI,bank_timeout,1,6,4,53.1,0.46,1,Recovered
TXN100270,12178.35,Card,network_error,1,12,0,3.8,0.781,1,Recovered
TXN100271,12189.49,NetBanking,network_error,0,1,1,3.6,0.672,1,Recovered
TXN100272,13032.54,NetBanking,authentication_failed,1,7,3,27.9,0.061,0,Unrecovered
TXN100273,13715.87,UPI,upi_timeout,1,6,4,25.5,0.482,0,Unrecovered
TXN100274,7767.38,Card,authentication_failed,0,11,0,22.8,0.351,1,Recovered
TXN100275,7621.94,UPI,upi_timeout,2,18,2,35.4,0.563,0,Unrecovered
TXN100276,12014.57,UPI,upi_timeout,1,6,0,23.2,0.594,1,Recovered
TXN100277,9819.12,Wallet,bank_timeout,3,9,2,13.9,0.526,0,Unrecovered
TXN100278,10588.81,UPI,bank_timeout,0,15,4,22.4,0.688,1,Recovered
TXN100279,11977.53,Card,card_declined,0,2,2,70.2,0.28,0,Unrecovered
TXN100280,13371.97,Card,upi_timeout,1,9,3,29.7,0.532,1,Recovered
TXN100281,5201.67,Card,network_error,0,5,5,32.1,0.54,1,Recovered
TXN100282,5758.0,Card,insufficient_funds,1,17,2,41.6,0.22,0,Unrecovered
TXN100283,1590.03,UPI,card_declined,2,17,3,70.8,0.315,1,Recovered
TXN100284,8758.12,UPI,bank_timeout,0,4,5,17.5,0.598,0,Unrecovered
TXN100285,730.98,Card,authentication_failed,1,6,4,49.1,0.05,0,Unrecovered
TXN100286,7090.32,UPI,card_declined,1,1,4,51.6,0.185,0,Unrecovered
TXN100287,8230.68,UPI,card_declined,0,10,0,43.8,0.5,1,Recovered
TXN100288,4440.1,UPI,card_declined,3,12,3,6.5,0.383,1,Recovered
TXN100289,8943.92,UPI,card_declined,2,4,3,48.8,0.175,1,Recovered
TXN100290,650.43,UPI,insufficient_funds,1,5,1,4.7,0.296,0,Unrecovered
TXN100291,751.79,UPI,authentication_failed,1,13,1,43.0,0.19,0,Unrecovered
TXN100292,12374.31,Card,authentication_failed,1,11,5,53.3,0.05,0,Unrecovered
TXN100293,5530.18,Card,authentication_failed,2,3,5,15.3,0.05,0,Unrecovered
TXN100294,2079.62,NetBanking,upi_timeout,1,5,1,60.6,0.52,1,Recovered
TXN100295,7928.72,UPI,network_error,1,9,5,2.3,0.669,1,Recovered
TXN100296,11595.67,UPI,authentication_failed,2,17,2,60.8,0.05,0,Unrecovered
TXN100297,3393.37,UPI,card_declined,0,14,1,33.2,0.559,1,Recovered
TXN100298,9418.4,Card,card_declined,2,7,3,15.7,0.342,0,Unrecovered
TXN100299,1462.23,Card,authentication_failed,0,8,2,9.7,0.322,1,Recovered
TXN100300,963.94,UPI,authentication_failed,0,4,5,68.6,0.05,0,Unrecovered
TXN100301,8063.58,Wallet,card_declined,0,9,4,5.3,0.559,0,Unrecovered
TXN100302,8200.94,UPI,upi_timeout,3,19,0,14.4,0.638,1,Recovered
TXN100303,9633.6,Card,bank_timeout,2,5,1,25.1,0.514,0,Unrecovered
TXN100304,10945.88,Card,bank_timeout,1,15,4,44.7,0.52,1,Recovered
TXN100305,14642.59,NetBanking,authentication_failed,1,2,5,39.3,0.05,0,Unrecovered
TXN100306,7840.76,Card,insufficient_funds,1,9,3,9.1,0.285,0,Unrecovered
TXN100307,4979.08,NetBanking,authentication_failed,3,10,0,20.9,0.106,0,Unrecovered
TXN100308,11968.55,UPI,authentication_failed,1,10,4,17.3,0.134,1,Recovered
TXN100309,4207.59,NetBanking,bank_timeout,0,16,0,15.5,0.872,1,Recovered
TXN100310,6696.22,UPI,card_declined,0,3,1,29.7,0.422,0,Unrecovered
TXN100311,1360.23,NetBanking,authentication_failed,2,3,5,50.7,0.05,0,Unrecovered
TXN100312,574.22,Card,card_declined,1,16,3,15.7,0.517,1,Recovered
TXN100313,14447.16,NetBanking,card_declined,0,8,5,26.5,0.363,0,Unrecovered
TXN100314,12572.34,Card,insufficient_funds,0,18,0,28.2,0.359,0,Unrecovered
TXN100315,10500.11,Card,card_declined,2,4,4,70.3,0.1,0,Unrecovered
TXN100316,6251.91,Card,bank_timeout,0,5,1,68.7,0.6,1,Recovered
