transaction_id,amount,payment_method,failure_reason,previous_attempts,recovery_probability,recommended_action,diagnosis,decision_reason,recovered,recovered_amount,simulation_note
TXN100021,2263.65,UPI,upi_timeout,0,0.702,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,2263.65,Synthetic outcome; no real payment was processed.
TXN100022,4523.03,Wallet,insufficient_funds,0,0.22,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100023,5621.52,Wallet,bank_timeout,0,0.938,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,5621.52,Synthetic outcome; no real payment was processed.
TXN100024,6949.29,Wallet,card_declined,0,0.329,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100025,11820.39,Card,authentication_failed,0,0.158,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100026,3154.37,NetBanking,insufficient_funds,0,0.179,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100027,7810.18,NetBanking,card_declined,1,0.458,MESSAGE,Card issuer declined the transaction. Customer may need to use another payment method.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100028,8967.33,UPI,upi_timeout,0,0.782,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,8967.33,Synthetic outcome; no real payment was processed.
TXN100029,886.51,NetBanking,network_error,1,0.835,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,886.51,Synthetic outcome; no real payment was processed.
TXN100030,9191.27,UPI,insufficient_funds,1,0.619,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100031,2722.93,Card,insufficient_funds,0,0.381,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,1,2722.93,Synthetic outcome; no real payment was processed.
TXN100032,1161.83,UPI,upi_timeout,1,0.783,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,1161.83,Synthetic outcome; no real payment was processed.
TXN100033,14243.45,UPI,authentication_failed,3,0.049,STOP,Authentication failed. Customer action is required before another attempt.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100034,14491.32,UPI,bank_timeout,1,0.557,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100035,12164.09,Card,network_error,1,0.753,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100036,4707.59,UPI,insufficient_funds,0,0.199,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100037,1644.64,Card,network_error,2,0.393,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,1,1644.64,Synthetic outcome; no real payment was processed.
TXN100038,10326.33,UPI,insufficient_funds,2,0.178,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100039,6713.7,UPI,network_error,1,0.852,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,6713.7,Synthetic outcome; no real payment was processed.
TXN100040,2005.29,Card,card_declined,3,0.636,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100041,7528.11,NetBanking,insufficient_funds,0,0.117,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100042,707.98,UPI,network_error,0,0.503,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,1,707.98,Synthetic outcome; no real payment was processed.
TXN100043,13657.85,Card,bank_timeout,2,0.475,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100044,4029.2,NetBanking,card_declined,2,0.312,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100045,10004.99,Card,card_declined,0,0.15,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100046,4812.64,UPI,bank_timeout,0,0.829,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,4812.64,Synthetic outcome; no real payment was processed.
TXN100047,7896.53,UPI,network_error,0,0.77,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,7896.53,Synthetic outcome; no real payment was processed.
TXN100048,8290.86,NetBanking,upi_timeout,0,0.373,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100049,2935.03,UPI,bank_timeout,2,0.677,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,2935.03,Synthetic outcome; no real payment was processed.
TXN100050,14549.82,NetBanking,network_error,1,0.713,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100051,11671.74,Card,bank_timeout,0,0.872,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100052,14104.52,Wallet,bank_timeout,0,0.678,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100053,13443.34,NetBanking,insufficient_funds,0,0.037,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100054,9048.52,Wallet,network_error,0,0.397,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100055,13843.66,UPI,upi_timeout,1,0.427,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100056,1508.78,NetBanking,insufficient_funds,3,0.086,STOP,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100057,3099.74,UPI,bank_timeout,2,0.514,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,1,3099.74,Synthetic outcome; no real payment was processed.
TXN100058,868.41,Card,authentication_failed,0,0.163,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,1,868.41,Synthetic outcome; no real payment was processed.
TXN100059,5014.21,Card,bank_timeout,2,0.342,STOP,Temporary bank-side timeout. A controlled retry may recover the payment.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100060,5951.81,NetBanking,bank_timeout,2,0.632,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,5951.81,Synthetic outcome; no real payment was processed.
TXN100061,4215.24,Wallet,network_error,2,0.308,STOP,Temporary network issue. A controlled retry is appropriate.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100062,12465.14,NetBanking,network_error,1,0.533,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100063,5479.31,UPI,insufficient_funds,0,0.154,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100064,4357.11,UPI,upi_timeout,0,0.641,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,4357.11,Synthetic outcome; no real payment was processed.
TXN100065,8231.44,Card,insufficient_funds,0,0.302,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100066,2284.82,UPI,card_declined,0,0.247,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100067,12072.32,UPI,bank_timeout,0,0.832,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100068,1302.42,UPI,authentication_failed,1,0.197,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,1,1302.42,Synthetic outcome; no real payment was processed.
TXN100069,14805.91,UPI,bank_timeout,1,0.813,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100070,11628.99,UPI,bank_timeout,1,0.784,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100071,3140.19,UPI,insufficient_funds,0,0.569,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,1,3140.19,Synthetic outcome; no real payment was processed.
TXN100072,280.73,UPI,authentication_failed,3,0.038,STOP,Authentication failed. Customer action is required before another attempt.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100073,12268.64,UPI,authentication_failed,3,0.149,STOP,Authentication failed. Customer action is required before another attempt.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100074,10661.2,Wallet,authentication_failed,2,0.04,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100075,10989.04,UPI,insufficient_funds,3,0.16,STOP,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100076,11614.57,UPI,bank_timeout,1,0.85,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100077,1294.93,Card,insufficient_funds,3,0.096,STOP,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100078,5504.65,UPI,network_error,0,0.512,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,1,5504.65,Synthetic outcome; no real payment was processed.
TXN100079,1913.98,Wallet,network_error,0,0.779,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,1913.98,Synthetic outcome; no real payment was processed.
TXN100080,12973.79,NetBanking,insufficient_funds,0,0.13,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100081,9424.44,UPI,authentication_failed,0,0.191,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100082,5096.62,UPI,bank_timeout,0,0.78,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,5096.62,Synthetic outcome; no real payment was processed.
TXN100083,1139.73,NetBanking,insufficient_funds,1,0.259,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,1,1139.73,Synthetic outcome; no real payment was processed.
TXN100084,4801.85,Wallet,insufficient_funds,2,0.587,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100085,5012.04,Card,insufficient_funds,1,0.619,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100086,10997.9,Card,card_declined,0,0.312,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100087,9635.49,UPI,network_error,2,0.416,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100088,13330.64,Wallet,authentication_failed,1,0.356,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100089,7188.25,UPI,upi_timeout,0,0.78,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,7188.25,Synthetic outcome; no real payment was processed.
TXN100090,1969.11,Wallet,authentication_failed,1,0.174,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,1,1969.11,Synthetic outcome; no real payment was processed.
TXN100091,10755.74,Card,upi_timeout,0,0.587,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100092,11459.38,Card,card_declined,0,0.271,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100093,8506.46,Card,insufficient_funds,2,0.301,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100094,11610.09,UPI,card_declined,0,0.306,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100095,7507.67,UPI,card_declined,1,0.454,MESSAGE,Card issuer declined the transaction. Customer may need to use another payment method.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100096,7935.97,UPI,bank_timeout,2,0.403,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100097,6527.03,UPI,network_error,1,0.322,STOP,Temporary network issue. A controlled retry is appropriate.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100098,575.23,NetBanking,upi_timeout,0,0.854,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,575.23,Synthetic outcome; no real payment was processed.
TXN100099,1795.9,UPI,insufficient_funds,0,0.063,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100100,664.18,UPI,upi_timeout,0,0.257,STOP,Temporary UPI/network timeout. A delayed retry may recover the payment.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100101,9618.51,Wallet,authentication_failed,1,0.05,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100102,4851.78,NetBanking,upi_timeout,0,0.636,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,4851.78,Synthetic outcome; no real payment was processed.
TXN100103,7726.35,Wallet,authentication_failed,0,0.092,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100104,13631.89,Wallet,network_error,3,0.732,STOP,Temporary network issue. A controlled retry is appropriate.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100105,3888.77,UPI,authentication_failed,1,0.136,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100106,6273.08,UPI,upi_timeout,0,0.694,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,6273.08,Synthetic outcome; no real payment was processed.
TXN100107,11381.91,NetBanking,upi_timeout,1,0.816,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100108,3585.44,Card,authentication_failed,1,0.232,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100109,1338.38,UPI,card_declined,0,0.615,RETRY,Card issuer declined the transaction. Customer may need to use another payment method.,Temporary technical failure with a strong recovery probability.,1,1338.38,Synthetic outcome; no real payment was processed.
TXN100110,4487.61,NetBanking,network_error,0,0.749,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,4487.61,Synthetic outcome; no real payment was processed.
TXN100111,2585.24,UPI,bank_timeout,2,0.808,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,2585.24,Synthetic outcome; no real payment was processed.
TXN100112,13959.45,UPI,insufficient_funds,1,0.179,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100113,12159.99,Card,upi_timeout,1,0.828,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100114,9574.01,Card,insufficient_funds,0,0.126,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100115,13097.49,Card,bank_timeout,0,0.536,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100116,12094.15,UPI,insufficient_funds,0,0.202,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100117,2960.42,NetBanking,bank_timeout,0,0.806,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,2960.42,Synthetic outcome; no real payment was processed.
TXN100118,13409.77,UPI,authentication_failed,0,0.078,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100119,8181.8,UPI,card_declined,0,0.206,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100120,12149.92,NetBanking,upi_timeout,2,0.363,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100121,13462.05,Wallet,bank_timeout,3,0.853,STOP,Temporary bank-side timeout. A controlled retry may recover the payment.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100122,4905.77,NetBanking,insufficient_funds,2,0.058,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100123,1827.88,NetBanking,upi_timeout,2,0.616,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,1827.88,Synthetic outcome; no real payment was processed.
TXN100124,3572.67,Card,card_declined,0,0.7,RETRY,Card issuer declined the transaction. Customer may need to use another payment method.,Temporary technical failure with a strong recovery probability.,1,3572.67,Synthetic outcome; no real payment was processed.
TXN100125,6520.62,Card,authentication_failed,3,0.116,STOP,Authentication failed. Customer action is required before another attempt.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100126,12306.44,UPI,upi_timeout,0,0.859,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100127,12938.67,UPI,bank_timeout,3,0.296,STOP,Temporary bank-side timeout. A controlled retry may recover the payment.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100128,301.9,UPI,card_declined,3,0.733,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100129,7758.57,UPI,insufficient_funds,1,0.164,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100130,6377.1,Card,card_declined,3,0.204,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,Retry limit reached. Further automated attempts are blocked.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100131,3486.42,Card,card_declined,1,0.253,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100132,1973.13,UPI,network_error,0,0.561,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,1,1973.13,Synthetic outcome; no real payment was processed.
TXN100133,5196.04,UPI,card_declined,0,0.553,MESSAGE,Card issuer declined the transaction. Customer may need to use another payment method.,Recovery probability is moderate; customer intervention is safer.,1,5196.04,Synthetic outcome; no real payment was processed.
TXN100134,14155.01,Card,card_declined,1,0.306,STOP,Card issuer declined the transaction. Customer may need to use another payment method.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100135,4982.73,UPI,upi_timeout,0,0.498,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,1,4982.73,Synthetic outcome; no real payment was processed.
