timestamp,transaction_id,recovery_probability,diagnosis,recommended_action,decision_reason,previous_attempts,outcome,recovered_amount
2026-09-04T17:50:02,TXN100127,0.296,Temporary bank-side timeout. A controlled retry may recover the payment.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100128,0.733,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100129,0.164,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100130,0.204,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100131,0.253,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100132,0.561,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,1973.13
2026-09-04T17:50:02,TXN100133,0.553,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100134,0.306,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100135,0.498,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4982.73
2026-09-04T17:50:02,TXN100136,0.094,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100137,0.626,Temporary UPI/network timeout. A delayed retry may recover the payment.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100138,0.603,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,5581.08
2026-09-04T17:50:02,TXN100139,0.22,Temporary bank-side timeout. A controlled retry may recover the payment.,STOP,Very low recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100140,0.77,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100141,0.376,Temporary network issue. A controlled retry is appropriate.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100142,0.159,Temporary network issue. A controlled retry is appropriate.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100143,0.713,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,4652.3
2026-09-04T17:50:02,TXN100144,0.205,Authentication failed. Customer action is required before another attempt.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100145,0.642,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,2,Recovered,744.96
2026-09-04T17:50:02,TXN100146,0.115,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100147,0.796,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,7639.15
2026-09-04T17:50:02,TXN100148,0.853,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,960.94
2026-09-04T17:50:02,TXN100149,0.634,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100150,0.69,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100151,0.561,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100152,0.308,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100153,0.796,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,7443.39
2026-09-04T17:50:02,TXN100154,0.166,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100155,0.201,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:02,TXN100156,0.554,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100157,0.226,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100158,0.21,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100159,0.199,Temporary bank-side timeout. A controlled retry may recover the payment.,STOP,Very low recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100160,0.364,Temporary UPI/network timeout. A delayed retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,0,Recovered,5642.56
2026-09-04T17:50:02,TXN100161,0.887,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,9557.76
2026-09-04T17:50:02,TXN100162,0.579,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100163,0.698,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,8129.0
2026-09-04T17:50:02,TXN100164,0.587,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100165,0.385,Temporary network issue. A controlled retry is appropriate.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,1,Not recovered,0.0
